City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lorengau,-2.0226,147.2712,83.73,77,100,7.09,PG,1613180573
Tiksi,71.6872,128.8694,-10.34,91,56,3.62,RU,1613180573
Constitución,-35.3333,-72.4167,58.87,88,42,6.8,CL,1613180510
Airai,-8.9266,125.4092,72.64,86,82,2.62,TL,1613180575
Hofn,64.2539,-15.2082,40.66,73,100,20.24,IS,1613180549
Bethel,41.3712,-73.414,28.4,30,90,3.44,US,1613180487
Kita,13.0349,-9.4895,75.85,17,0,3.8,ML,1613180577
Broome,42.2506,-75.833,15.8,48,90,4.61,US,1613180577
Shingū,33.7333,135.9833,59.0,67,40,6.91,JP,1613180578
Hailar,49.2,119.7,-3.23,87,0,16.13,CN,1613180580
Vila Franca do Campo,37.7167,-25.4333,60.01,94,20,13.8,PT,1613180581
Biryusinsk,55.9634,97.8235,-11.04,86,99,2.62,RU,1613180582
Bonavista,48.6499,-53.1147,30.99,93,100,11.5,CA,1613180582
Poronaysk,49.2167,143.1167,21.22,97,47,2.06,RU,1613180583
Oranjestad,12.524,-70.027,78.8,78,20,19.57,AW,1613180365
Kaitangata,-46.2817,169.8464,64.0,70,76,4.0,NZ,1613180584
Ixtapa,20.7,-105.2,71.6,68,40,6.91,MX,1613180586
Mount Isa,-20.7333,139.5,91.4,46,40,9.22,AU,1613180591
Inta,66.0317,60.1659,-19.32,87,100,4.14,RU,1613180591
Villazón,-22.0866,-65.5942,50.04,69,0,9.42,BO,1613180592
Richards Bay,-28.783,32.0377,74.21,92,95,2.91,ZA,1613180593
Ribeira Grande,38.5167,-28.7,60.64,78,100,30.76,PT,1613180594
Mahon,39.8885,4.2658,53.6,87,75,18.41,ES,1613180592
Disna,55.568,28.1971,7.23,90,100,15.86,BY,1613180595
Tasiilaq,65.6145,-37.6368,32.0,69,90,39.12,GL,1613180595
Ponta do Sol,32.6667,-17.1,55.0,74,6,3.0,PT,1613180598
Oruro,-17.9833,-67.15,52.86,48,6,6.62,BO,1613180599
Saint Anthony,45.0205,-93.218,-5.8,49,1,3.44,US,1613180448
Rio Claro,-22.4114,-47.5614,73.0,100,0,8.05,BR,1613180315
Meulaboh,4.1363,96.1285,81.81,74,6,2.91,ID,1613180511
Elko,41.0002,-115.5012,42.01,67,100,10.0,US,1613180603
Comodoro Rivadavia,-45.8667,-67.5,62.6,88,0,4.61,AR,1613180607
Avera,33.194,-82.5271,42.8,86,90,10.36,US,1613180608
Lafia,8.4833,8.5167,75.34,19,98,4.16,NG,1613180609
New Norfolk,-42.7826,147.0587,70.0,45,98,4.0,AU,1613180610
Yakeshi,49.2833,120.7333,-3.14,88,43,15.7,CN,1613180610
Iranshahr,27.2025,60.6848,54.03,41,0,1.66,IR,1613180612
Bengkulu,-3.8004,102.2655,83.95,67,56,2.19,ID,1613180618
Beringovskiy,63.05,179.3167,-11.58,88,100,28.03,RU,1613180618
Severo-Kuril'sk,50.6789,156.125,28.83,95,100,6.67,RU,1613180545
Chimoré,-16.9833,-65.1333,70.79,86,8,2.1,BO,1613180620
San Cristobal,7.7669,-72.225,67.35,73,89,0.94,VE,1613180621
Yeppoon,-23.1333,150.7333,87.8,40,0,6.91,AU,1613180495
Thompson,55.7435,-97.8558,-29.2,75,1,1.43,CA,1613180626
Norman Wells,65.282,-126.8329,-4.0,77,20,3.44,CA,1613180627
Hithadhoo,-0.6,73.0833,82.15,75,83,11.48,MV,1613180628
Grindavik,63.8424,-22.4338,41.0,75,75,34.52,IS,1613180629
Upington,-28.4478,21.2561,76.35,60,96,14.34,ZA,1613180630
Killybegs,54.6333,-8.45,30.99,95,100,14.0,IE,1613180630
Balkhash,46.844,74.9804,8.6,78,0,15.66,KZ,1613180630
Almeria,37.1667,-2.3333,57.99,66,0,6.91,ES,1613180631
Leningradskiy,69.3833,178.4167,-17.73,84,100,8.59,RU,1613180631
Saskylakh,71.9167,114.0833,-28.59,82,74,1.99,RU,1613180632
Pochutla,15.7432,-96.4661,79.0,72,23,3.22,MX,1613180633
Ayan,56.45,138.1667,16.36,95,100,7.96,RU,1613180635
Westport,41.1415,-73.3579,28.4,34,90,5.75,US,1613180637
Mergen,49.1833,125.2167,14.5,89,58,11.01,CN,1613180637
Treinta y Tres,-33.2333,-54.3833,66.0,97,100,5.08,UY,1613180637
Antofagasta,-23.65,-70.4,68.0,73,0,5.75,CL,1613180637
Saint-Joseph,-21.3667,55.6167,80.6,65,20,16.11,RE,1613180639
Derzhavīnsk,51.1,66.3167,28.02,98,100,7.99,KZ,1613180641
Baoning,25.3378,110.026,51.8,93,0,3.2,CN,1613180641
Nome,64.5011,-165.4064,28.4,74,90,20.71,US,1613180535
Yulara,-25.2406,130.9889,66.2,72,90,20.71,AU,1613180642
Preston,53.7667,-2.7167,28.0,69,85,10.0,GB,1613180642
Kinkala,-4.3614,14.7644,77.0,88,58,5.75,CG,1613180643
Karasburg,-28.0167,18.75,73.38,59,98,6.51,NA,1613180643
Dakar,14.6937,-17.4441,64.4,88,0,13.8,SN,1613180562
Huarmey,-10.0681,-78.1522,73.09,72,87,7.31,PE,1613180644
Arlit,18.7369,7.3853,64.56,23,0,4.54,NE,1613180645
Nha Trang,12.25,109.1833,75.2,57,20,11.5,VN,1613180572
Oxelösund,58.6706,17.1015,14.0,79,0,9.22,SE,1613180647
Ürümqi,43.801,87.6005,10.4,92,25,4.47,CN,1613180647
Ugoofaaru,5.6667,73.0,80.4,64,100,10.36,MV,1613180624
Gornyy,55.1153,83.9059,-23.03,86,80,4.45,RU,1613180647
Esperance,-33.8667,121.9,69.8,56,0,6.91,AU,1613180400
Hasaki,35.7333,140.8333,57.0,62,20,2.3,JP,1613180546
St. George's,12.0564,-61.7485,78.8,78,75,21.85,GD,1613180649
Kahului,20.8947,-156.47,84.2,51,20,16.11,US,1613180649
Rubtsovsk,51.5,81.25,-15.05,87,89,6.69,RU,1613180650
Bururi Province,-3.85,29.6333,58.53,94,100,1.68,BI,1613180651
Jōetsu,37.1483,138.2364,48.99,51,0,6.73,JP,1613180651
Kieta,-6.2167,155.6333,85.12,72,85,8.23,PG,1613180653
Tuktoyaktuk,69.4541,-133.0374,-5.8,77,75,3.44,CA,1613180518
Dingle,10.9995,122.6711,83.28,75,57,5.66,PH,1613180554
Pevek,69.7008,170.3133,-19.1,89,100,7.2,RU,1613180655
Alice Springs,-23.7,133.8833,68.0,94,90,9.22,AU,1613180655
Luga,58.7372,29.8453,-0.99,92,86,4.85,RU,1613180655
Cabo San Lucas,22.8909,-109.9124,66.2,72,1,13.8,MX,1613180454
Villarrica,-25.75,-56.4333,69.84,86,0,1.34,PY,1613180656
Farnes,61.3167,7.8,2.05,49,0,1.3,NO,1613180658
Hambantota,6.1241,81.1185,71.6,100,20,3.44,LK,1613180365
Fortuna,40.5982,-124.1573,52.0,100,75,3.78,US,1613180583
Santa Maria,-29.6842,-53.8069,68.0,100,40,1.14,BR,1613180481
Shitkino,56.3703,98.3543,-9.54,87,100,2.73,RU,1613180661
Mar del Plata,-38.0023,-57.5575,69.01,100,90,13.8,AR,1613180545
Chake Chake,-5.2459,39.7666,77.72,82,60,7.14,TZ,1613180662
Ancud,-41.8697,-73.8203,55.99,71,0,4.61,CL,1613180663
Arraial do Cabo,-22.9661,-42.0278,76.17,89,100,14.2,BR,1613180664
Forsytheganj,52.6333,29.7333,8.26,95,100,18.03,BY,1613180664
Chancay,-11.5714,-77.2672,75.2,69,0,9.22,PE,1613180665
Port Shepstone,-30.7414,30.455,75.29,82,0,12.24,ZA,1613180665
Bredasdorp,-34.5322,20.0403,72.0,77,0,4.0,ZA,1613180665
San Andrés,12.5847,-81.7006,80.6,74,20,6.91,CO,1613180404
Yetkul',54.8221,61.588,6.8,92,75,4.47,RU,1613180666
Saint-Augustin,51.226,-58.6502,14.13,92,2,12.64,CA,1613180624
Ranong,9.9658,98.6348,77.0,88,0,3.53,TH,1613180668
Batagay-Alyta,67.8006,130.4114,-5.19,80,0,1.66,RU,1613180669
Karema,-6.8205,30.4389,70.63,83,100,4.56,TZ,1613180669
Marsá Maţrūḩ,31.3525,27.2453,55.4,76,40,8.05,EG,1613180670
Departamento de Maldonado,-34.6667,-54.9167,66.2,94,90,6.91,UY,1613180670
Yekaterinoslavka,50.3734,129.1139,10.2,93,3,7.83,RU,1613180671
Lagoa,39.05,-27.9833,59.16,81,100,26.06,PT,1613180671
Flinders,-34.5833,150.8552,71.01,85,100,5.01,AU,1613180671
Lázaro Cárdenas,17.9583,-102.2,70.92,73,3,7.23,MX,1613180565
Kenai,60.5544,-151.2583,27.0,58,1,16.11,US,1613180672
Naze,28.3667,129.4833,68.0,83,75,20.71,JP,1613180672
Cocobeach,1.0002,9.5823,84.2,84,40,6.91,GA,1613180672
Makakilo City,21.3469,-158.0858,80.6,54,1,9.22,US,1613180673
Benjamín Hill,30.1667,-111.1,66.0,31,0,3.0,MX,1613180674
Port-Gentil,-0.7193,8.7815,81.9,78,100,12.03,GA,1613180674
Nüziders,47.1667,9.8,21.0,97,19,0.69,AT,1613180674
Lavrentiya,65.5833,-171.0,-5.64,89,100,18.25,RU,1613180539
Barra Patuca,15.8,-84.2833,77.38,78,0,13.6,HN,1613180675
Carbonia,39.1672,8.5222,57.0,100,40,3.44,IT,1613180675
Līsakovsk,52.5369,62.4936,26.49,98,100,5.93,KZ,1613180537
Mitsamiouli,-11.3847,43.2844,82.2,80,100,14.65,KM,1613180676
Klaksvík,62.2266,-6.589,37.4,65,90,18.41,FO,1613180679
Indiaroba,-11.5192,-37.5117,75.79,82,0,4.92,BR,1613180679
Longyearbyen,78.2186,15.6401,10.4,85,90,16.11,SJ,1613180649
Adrar,20.5022,-10.0711,63.7,22,0,10.63,MR,1613180681
Ust'-Omchug,61.15,149.6333,7.2,86,100,4.59,RU,1613180682
Santa Cruz Cabrália,-16.2781,-39.0247,77.0,78,20,8.05,BR,1613180683
Bathsheba,13.2167,-59.5167,78.8,69,20,18.41,BB,1613180434
Touros,-5.1989,-35.4608,80.6,74,20,8.05,BR,1613180518
Zaysan,47.4667,84.8667,4.57,92,77,2.01,KZ,1613180683
Hualmay,-11.0964,-77.6139,73.42,67,52,6.38,PE,1613180684
São Félix do Xingu,-6.6447,-51.995,73.71,94,100,1.57,BR,1613180684
Xining,36.6167,101.7667,29.62,91,40,1.95,CN,1613180684
Pangnirtung,66.1451,-65.7125,-18.8,82,99,0.02,CA,1613180684
Coquimbo,-29.9533,-71.3436,62.6,88,0,6.91,CL,1613180685
Kloulklubed,7.0419,134.2556,86.0,74,90,9.22,PW,1613180685
Butler,39.4501,-84.5666,26.01,74,90,6.91,US,1613180686
Havøysund,70.9963,24.6622,24.8,86,100,11.5,NO,1613180687
Tilichiki,60.4667,166.1,-11.92,85,0,13.58,RU,1613180687
Poum,-20.2333,164.0167,80.55,72,0,9.08,NC,1613180688
Rawson,-43.3002,-65.1023,71.8,65,0,15.52,AR,1613180688
Salto,-31.3833,-57.9667,69.01,93,0,11.01,UY,1613180456
Bandarbeyla,9.4942,50.8122,71.69,76,84,11.5,SO,1613180689
Ulagan,50.6321,87.9563,-3.91,81,61,1.63,RU,1613180689
Uyuni,-20.4597,-66.825,53.58,41,0,11.05,BO,1613180690
Matara,5.9485,80.5353,75.04,85,61,2.59,LK,1613180487
Altay,47.8667,88.1167,8.91,81,11,3.87,CN,1613180690
Skjervøy,70.0311,20.9714,26.96,93,100,12.21,NO,1613180690
Jardim,-21.4803,-56.1381,70.38,91,0,2.86,BR,1613180571
Conceição do Araguaia,-8.2578,-49.2647,75.61,91,100,2.13,BR,1613180437
Dongsheng,39.8161,109.9776,34.45,68,100,2.39,CN,1613180692
Yakima,46.4665,-120.6678,17.6,79,90,4.18,US,1613180693
Maniitsoq,65.4167,-52.9,14.9,89,27,10.69,GL,1613180693
Nemuro,43.3236,145.575,24.8,68,40,2.3,JP,1613180693
Bantry,51.6833,-9.45,41.0,93,90,32.21,IE,1613180693
Lebu,-37.6167,-73.65,58.32,85,0,14.72,CL,1613180694
Meghradzor,40.6061,44.6515,33.8,80,13,1.14,AM,1613180695
Ondjiva,-17.0667,15.7333,64.08,95,88,4.16,AO,1613180695
Çayeli,41.0923,40.7292,42.55,82,100,9.22,TR,1613180695
Grand-Lahou,5.1367,-5.0242,79.39,90,0,10.63,CI,1613180695
Oktyabr'skiy,54.4815,53.471,34.47,94,100,10.33,RU,1613180696
Gravdal,68.1214,13.5031,32.32,90,99,16.28,NO,1613180696
Diffa,13.3154,12.6113,68.58,24,0,8.46,NE,1613180696
Caravelas,-17.7125,-39.2481,75.96,85,98,5.5,BR,1613180697
Elmadağ,39.9208,33.2308,28.0,80,40,1.14,TR,1613180697
Somerset East,-32.7217,25.588,69.15,68,100,2.3,ZA,1613180697
Saint George,37.1041,-113.5841,60.8,33,1,2.93,US,1613180545
Reoti,25.85,84.3833,58.19,68,0,3.76,IN,1613180698
Ternate,0.8,127.4,84.54,69,58,6.02,ID,1613180698
Torbay,47.6666,-52.7314,30.99,86,90,25.32,CA,1613180698
La Peca,-5.6111,-78.435,71.01,77,82,3.58,PE,1613180698
Buchanan,5.8808,-10.0467,79.23,91,0,7.07,LR,1613180699
Mariehamn,60.0973,19.9348,30.2,74,0,13.8,AX,1613180699
Randolph,35.7001,-79.8164,32.0,100,90,6.91,US,1613180699
Kropotkin,45.4375,40.5756,28.0,91,52,17.94,RU,1613180699
Morón,-34.6534,-58.6198,73.99,64,90,3.44,AR,1613180699
Mareeba,-17.0,145.4333,87.01,66,90,4.61,AU,1613180700
Cherskiy,68.75,161.3,-20.13,82,0,0.89,RU,1613180569
Sambava,-14.2667,50.1667,74.68,87,100,3.6,MG,1613180700
Bahía Solano,6.2262,-77.4044,78.69,81,46,1.23,CO,1613180701
Olafsvik,64.8945,-23.7142,39.81,72,100,26.19,IS,1613180412
Alacranes,22.7675,-81.5675,73.4,88,20,4.61,CU,1613180701
Shakiso,5.75,38.9167,56.52,65,66,3.06,ET,1613180702
Oodweyne,9.4092,45.064,61.95,30,100,5.73,SO,1613180702
Pingliang,35.5392,106.6861,44.28,55,100,2.59,CN,1613180703
Sinnamary,5.3833,-52.95,78.31,87,98,14.83,GF,1613180704
Dwārka,22.2394,68.9678,68.54,72,0,8.23,IN,1613180704
Bacungan,9.9106,118.7022,80.6,83,75,13.8,PH,1613180705
Praxédis Guerrero,31.3667,-106.0167,64.4,19,75,3.44,MX,1613180705
Port Blair,11.6667,92.75,80.38,71,100,10.13,IN,1613180705
Chui,-33.6971,-53.4616,70.57,91,100,10.31,UY,1613180705
Jumla,29.2747,82.1838,41.11,47,0,4.52,NP,1613180706
Marzuq,14.4,46.4667,53.26,41,0,1.16,YE,1613180706
George Town,5.4112,100.3354,82.4,83,20,3.44,MY,1613180707
Agirish,61.9247,63.0231,-10.07,91,100,2.89,RU,1613180707
Sur,22.5667,59.5289,66.54,58,0,2.19,OM,1613180524
Bariloche,-41.1456,-71.3082,71.6,53,75,13.8,AR,1613180708
Qaqortoq,60.7167,-46.0333,44.6,29,90,29.93,GL,1613180510
Port Macquarie,-31.4333,152.9167,75.2,88,40,5.75,AU,1613180708
Makokou,0.5738,12.8642,72.27,88,0,2.91,GA,1613180708
Atasū,48.6814,71.6433,18.55,95,98,6.08,KZ,1613180709
Karratha,-20.7377,116.8463,84.18,59,30,10.09,AU,1613180709
Pyaozerskiy,65.8333,31.1667,16.25,96,94,4.47,RU,1613180709
Chicama,-7.8447,-79.1469,75.24,65,96,5.77,PE,1613180710
Viedma,-40.8135,-62.9967,70.0,84,100,16.31,AR,1613180426
Goundam,16.4145,-3.6708,72.28,18,0,6.26,ML,1613180710
Umm Kaddadah,13.6017,26.6876,70.54,23,0,17.81,SD,1613180711
Arroio Grande,-32.2375,-53.0869,62.01,99,100,11.01,BR,1613180712
Pamekasan,-7.1568,113.4746,82.36,77,97,8.32,ID,1613180705
Eureka,40.8021,-124.1637,51.01,97,100,6.49,US,1613180424
São Filipe,14.8961,-24.4956,72.81,63,0,12.21,CV,1613180508
Praia,14.9215,-23.5087,69.8,73,0,19.57,CV,1613180713
Vanimo,-2.6741,141.3028,78.31,85,100,3.69,PG,1613180713
Ozernovskiy,51.5,156.5167,27.36,97,100,5.77,RU,1613180714
Riyadh,24.6877,46.7219,53.6,50,0,3.02,SA,1613180534
Houlton,46.1262,-67.8403,14.0,73,75,6.91,US,1613180717
Volga,57.9516,38.3879,2.8,90,100,15.75,RU,1613180717
Bakchar,57.0186,82.0711,-21.26,87,100,5.14,RU,1613180717
Meadow Lake,34.8014,-106.5436,53.6,32,75,6.91,US,1613180718
Pangody,65.85,74.4859,-25.33,86,100,3.91,RU,1613180718
Praia da Vitória,38.7333,-27.0667,60.01,82,20,29.28,PT,1613180565
Vytegra,61.0064,36.4481,-10.17,86,98,1.45,RU,1613180719
Vao,-22.6667,167.4833,79.03,75,3,7.25,NC,1613180719
Shaunavon,49.6501,-108.4181,-16.6,69,100,5.75,CA,1613180720
Oistins,13.0667,-59.5333,78.8,69,20,18.41,BB,1613180720
Nanortalik,60.1432,-45.2371,36.59,76,100,12.08,GL,1613180720
Tāybād,34.74,60.7756,46.13,55,0,3.33,IR,1613180721
Ōtsuki,35.6,138.9333,52.0,53,1,4.61,JP,1613180721
Siderno,38.2779,16.302,57.0,62,90,4.61,IT,1613180722
Ayagoz,47.9714,80.4392,2.32,92,50,9.01,KZ,1613180723
Ca Mau,9.1769,105.15,80.11,64,63,8.55,VN,1613180440
Srednekolymsk,67.45,153.6833,-21.33,84,0,5.95,RU,1613180723
Saddiqabad,28.3062,70.1307,60.12,32,16,7.63,PK,1613180724
Toora-Khem,52.4675,96.11,-16.38,85,89,1.54,RU,1613180724
Suez,29.9737,32.5263,56.12,76,0,6.55,EG,1613180724
Qasigiannguit,68.8193,-51.1922,6.8,78,75,1.14,GL,1613180725
Linjiang,41.8069,126.9078,35.17,82,99,1.52,CN,1613180725
La Ronge,55.1001,-105.2842,-22.0,69,27,1.07,CA,1613180725
Sabirabad,40.0095,48.4752,41.0,100,90,5.77,AZ,1613180726
Nambucca Heads,-30.65,153.0,82.4,65,75,8.05,AU,1613180726
Onega,63.9061,38.1404,-5.76,90,90,7.74,RU,1613180726
Tsimmerbude,54.675,20.1347,28.99,93,75,6.71,RU,1613180726
Porto-Novo,6.4965,2.6036,84.2,89,40,11.5,BJ,1613180726
Benavente,42.0025,-5.6783,30.2,100,0,2.3,ES,1613180727
Rudnyy,52.9594,63.1206,21.2,100,90,6.71,KZ,1613180727
Sobolevo,54.4299,31.8996,8.58,94,100,22.77,RU,1613180727
Salalah,17.0151,54.0924,66.2,45,0,4.61,OM,1613180442
Zeerust,-25.5369,26.0751,62.6,88,0,4.61,ZA,1613180728
Vila Velha,-20.3297,-40.2925,78.01,83,20,5.75,BR,1613180506
Eilat,29.5581,34.9482,58.17,69,1,8.5,IL,1613180728
Voh,-20.9667,164.7,85.33,61,20,4.83,NC,1613180728
Pasni,25.2631,63.471,68.05,55,0,3.42,PK,1613180728
Guerrero Negro,27.9769,-114.0611,59.31,78,10,14.52,MX,1613180729
Terdāl,16.5,75.05,64.65,45,51,4.88,IN,1613180729
Buta,2.7858,24.73,69.17,44,0,1.16,CD,1613180729
Aklavik,68.2191,-135.0107,3.2,72,100,2.3,CA,1613180527
Fortuna Foothills,32.6578,-114.4119,69.8,34,1,9.22,US,1613180730
São João da Barra,-21.6403,-41.0511,77.29,84,100,15.12,BR,1613180730
Latung,5.5,120.8833,82.06,76,100,8.79,PH,1613180730
Laguna,38.421,-121.4238,60.8,44,1,1.74,US,1613180546
Port-Cartier,50.0334,-66.8654,19.4,53,90,8.05,CA,1613180731
Jaleshwar,26.6471,85.8008,62.24,60,0,2.95,NP,1613180731
Río Gallegos,-51.6226,-69.2181,39.2,81,0,8.05,AR,1613180731
Talnakh,69.4865,88.3972,-21.24,86,100,2.08,RU,1613180731
Saraza,8.7356,117.78,84.83,68,82,1.68,PH,1613180732
Emerald,-23.5333,148.1667,87.8,37,15,10.36,AU,1613180732
Nishihara,26.1842,127.7558,71.6,83,40,14.97,JP,1613180732
Friendly,38.7518,-76.9786,32.0,74,90,5.75,US,1613180733
